ft_5,ft_4,ft_3,ft_2,ft_1,lat,lon,weekday,exp_avg
135,144,124,132,121,40.709711596015204,-74.01124288187208,3,123
8,12,13,13,16,40.756897014367645,-73.92489608097267,3,14
285,297,263,257,283,40.76198687000227,-73.97454789040707,3,276
10,16,16,12,16,40.64668779102706,-73.79059834133389,3,14
72,58,37,46,42,40.72799681930102,-73.9818080220511,3,42
121,114,129,118,137,40.74269698623996,-73.99169560420432,3,131
4,7,7,12,12,40.78793089102346,-73.9503086475616,3,11
49,66,53,73,74,40.76949366905706,-73.86341090168027,3,71
166,158,165,182,181,40.75683975641707,-73.98766465193103,3,179
34,40,44,36,26,40.67786295765424,-73.97855991196347,3,29
70,77,82,58,64,40.76749121243213,-73.95621509923748,3,64
19,19,15,11,15,40.7275038900577,-74.00114875089074,3,14
116,129,126,129,111,40.776469087555434,-73.96034766556758,3,115
79,82,101,100,101,40.78767432790671,-73.97394776931536,3,100
281,257,217,226,219,40.74380770511267,-73.98065833746243,3,221
17,19,20,20,28,40.8145770233023,-73.94379659294229,3,25
14,19,28,23,29,40.71316018538042,-73.95171319980815,3,27
196,202,191,184,203,40.741681802911536,-74.00476695274784,3,197
6,0,4,4,6,40.73962411284447,-73.88243696093558,3,5
22,31,20,21,18,40.73435976580101,-73.98770912047459,3,18
74,65,70,93,72,40.77044209917091,-73.98677924572048,3,75
171,199,208,186,243,40.752191213241304,-73.97693940718493,3,227
192,176,189,181,192,40.7222600597641,-73.9904351011451,3,188
69,72,84,63,93,40.77748184806422,-73.95315211045114,3,85
0,5,11,7,4,40.665507282000135,-73.94931856461757,3,4
215,221,198,181,129,40.75002569783834,-73.99300054391342,3,146
4,1,2,2,2,40.849123266678816,-73.92744663093663,3,1
27,34,23,22,25,40.75948696581029,-73.99748124981032,3,24
65,66,66,71,71,40.798587295142084,-73.9667247678294,3,70
19,16,14,24,18,40.75628769975205,-73.96815349336768,3,18
43,48,41,48,53,40.645921143980736,-73.7802667803751,3,50
103,130,105,121,114,40.76383898481395,-73.98279112787046,3,114
65,72,43,62,49,40.777871754016886,-73.98080698284741,3,51
79,59,62,62,57,40.735276011496005,-73.99815205441789,3,58
9,5,7,7,5,40.68988247863058,-73.99219030263473,3,5
150,144,147,139,135,40.76507225504219,-73.96535123747391,3,136
84,79,73,67,81,40.77737228967126,-73.94734282937426,3,77
30,71,65,57,57,40.77383574572476,-73.87353891484877,3,57
77,68,62,64,62,40.71947961424827,-74.00462585439675,3,62
5,6,11,5,12,40.80665893074852,-73.95874286147784,3,10
